Array IDX,Name,Card 1,Card 2,Shape,Hand,Rank
787,Qc3s,Qc,3s,Offsuit,Q3o,144
788,Qc4c,Qc,4c,Suited,Q4s,71
789,Qc4d,Qc,4d,Offsuit,Q4o,143
790,Qc4h,Qc,4h,Offsuit,Q4o,143
791,Qc4s,Qc,4s,Offsuit,Q4o,143
792,Qc5c,Qc,5c,Suited,Q5s,69
793,Qc5d,Qc,5d,Offsuit,Q5o,141
794,Qc5h,Qc,5h,Offsuit,Q5o,141
795,Qc5s,Qc,5s,Offsuit,Q5o,141
796,Qc6c,Qc,6c,Suited,Q6s,66
797,Qc6d,Qc,6d,Offsuit,Q6o,137
798,Qc6h,Qc,6h,Offsuit,Q6o,137
799,Qc6s,Qc,6s,Offsuit,Q6o,137
800,Qc7c,Qc,7c,Suited,Q7s,61
801,Qc7d,Qc,7d,Offsuit,Q7o,131
802,Qc7h,Qc,7h,Offsuit,Q7o,131
803,Qc7s,Qc,7s,Offsuit,Q7o,131
804,Qc8c,Qc,8c,Suited,Q8s,43
805,Qc8d,Qc,8d,Offsuit,Q8o,115
806,Qc8h,Qc,8h,Offsuit,Q8o,115
807,Qc8s,Qc,8s,Offsuit,Q8o,115
808,Qc9c,Qc,9c,Suited,Q9s,25
809,Qc9d,Qc,9d,Offsuit,Q9o,83
810,Qc9h,Qc,9h,Offsuit,Q9o,83
811,Qc9s,Qc,9s,Offsuit,Q9o,83
812,QcTc,Qc,Tc,Suited,QTs,15
813,QcTd,Qc,Td,Offsuit,QTo,49
814,QcTh,Qc,Th,Offsuit,QTo,49
815,QcTs,Qc,Ts,Offsuit,QTo,49
816,QcJc,Qc,Jc,Suited,QJs,13
817,QcJd,Qc,Jd,Offsuit,QJo,35
818,QcJh,Qc,Jh,Offsuit,QJo,35
819,QcJs,Qc,Js,Offsuit,QJo,35
820,QdQc,Qc,Qd,Pair,QQ,3
821,QhQc,Qc,Qh,Pair,QQ,3
822,QsQc,Qc,Qs,Pair,QQ,3
823,Qd2c,Qd,2c,Offsuit,Q2o,146
824,Qd2d,Qd,2d,Suited,Q2s,75
825,Qd2h,Qd,2h,Offsuit,Q2o,146
826,Qd2s,Qd,2s,Offsuit,Q2o,146
827,Qd3c,Qd,3c,Offsuit,Q3o,144
828,Qd3d,Qd,3d,Suited,Q3s,72
829,Qd3h,Qd,3h,Offsuit,Q3o,144
830,Qd3s,Qd,3s,Offsuit,Q3o,144
831,Qd4c,Qd,4c,Offsuit,Q4o,143
832,Qd4d,Qd,4d,Suited,Q4s,71
833,Qd4h,Qd,4h,Offsuit,Q4o,143
834,Qd4s,Qd,4s,Offsuit,Q4o,143
835,Qd5c,Qd,5c,Offsuit,Q5o,141
836,Qd5d,Qd,5d,Suited,Q5s,69
837,Qd5h,Qd,5h,Offsuit,Q5o,141
838,Qd5s,Qd,5s,Offsuit,Q5o,141
839,Qd6c,Qd,6c,Offsuit,Q6o,137
840,Qd6d,Qd,6d,Suited,Q6s,66
841,Qd6h,Qd,6h,Offsuit,Q6o,137
842,Qd6s,Qd,6s,Offsuit,Q6o,137
843,Qd7c,Qd,7c,Offsuit,Q7o,131
